time,intensifier_fraction,personal_fraction,iqv,entropy,counts,lexical_density
1154704195,1.000000000000002,0,0.996239470857595,6.473447262679734,133,0.872180451127821
1187363395,0.9999999999999999,0,1.0,3.321928094887362,10,0.8999999999999999
1212160195,0.9999999999999999,0,1.0,3.321928094887362,10,0.8999999999999999
1314976195,0.9999999999999996,0,0.990946174509999,4.229871195093384,23,0.9130434782608693
1320419395,1.0000000000000004,0,0.9961024191500404,5.309700021798343,47,0.8297872340425534
1321628995,0.9999999999999991,0,0.9774310542947429,5.497296794407567,236,0.9449152542372874
1322838595,1.0000000000000007,0,0.9990772430665364,6.492321507482837,101,0.9504950495049511
1328886595,1.0000000000000004,0,0.9987216012857038,5.182838116298145,39,0.8974358974358979
1340982595,0.9999999999999999,0,0.9999999999999999,2.584962500721156,6,0.9999999999999999
1341587395,0.9953291237782158,0,0.9973736976591274,9.335856287654615,11561,0.8683504887120449
1342192195,0.9971401334604358,0,0.9958633261874535,8.219114123405152,1049,0.8732125834127719
1342796995,0.9956036886124675,0.0005897490885695904,0.9981663550337402,10.036840547702832,18652,0.899313746515106
1343401795,0.9947988494424225,0.00035462390165097126,0.9978267647980851,10.45091553337672,25379,0.8985381614720555
1344006595,0.9948204205694173,0.00021710811984368216,0.9976645521231063,10.328144752530424,32242,0.8823584144903927
1344611395,0.996710456951221,0.00021086814414946332,0.9980776899168227,10.65605214003143,47423,0.8992893743541733
1345216195,0.9960206277663023,8.121167823933082e-05,0.9973706892949129,10.293168223546882,24627,0.899419336500617
1345820995,0.9976498237367664,0.0003916960438699569,0.9981704065323194,9.284151342888885,2553,0.9153936545240783
1346425795,0.9974694221847326,0,0.9973559703644143,9.401008712637607,4742,0.9067903838043022
1347030595,0.9993734335839539,0,0.977951184417288,6.8132531148053275,1596,0.947368421052626
1347635395,1.000000000000002,0,0.96887533632287,5.739767299108087,1200,0.9366666666666685
1348240195,0.9999999999999989,0,0.9697580930411379,5.769638885467028,1190,0.9487394957983183
1348844995,0.9996605566870349,0,0.9966087172671085,8.545027362026342,2946,0.9297352342158873
1349449795,1.0000000000000002,0,0.9914158938119633,7.608023764115068,945,0.942857142857143
1350054595,0.9964687706908075,0.0006621054954756124,0.998417305664901,9.635201183918795,4531,0.9028911939969201
1350659395,0.9966257854646369,0.0002020487745741822,0.9985773967067296,10.726927134168886,49493,0.8880245691310092
1351264195,0.9960821911322315,0.00035508841701583694,0.9979629246217021,10.630542203282891,84486,0.8722628601188097
1351868995,0.9965819152241494,0.00014622822570326636,0.9973247912930321,10.314874715791168,54709,0.8859602624796326
1352473795,0.9967977126519317,0.00045746962115796996,0.9969831895440959,10.184907742022322,34975,0.8935239456755127
1353078595,0.9963896266017749,0.00018357830838708098,0.9968362099772189,10.304420782332901,81709,0.8966331738242315
1353683395,0.9965521918209359,0.00047826738716101906,0.9977362974343148,10.61237504927208,140089,0.8997208917188569
1354288195,0.9968849500091792,0.0003082601553468941,0.9975286849570898,10.569204772229236,246545,0.89694376280197
1354892995,0.9961041040328841,9.487722294368443e-05,0.9976249565831748,10.310057046883504,168639,0.887297718795776
1355497795,0.9967958529765656,0.00010204289883467009,0.9973692879275505,10.43725287082572,146997,0.8984469070797124
1356102595,0.996732290907131,0.00016203516163007373,0.9969534446835215,10.212431017465994,111087,0.891409435847581
1356707395,0.9966450807520931,0.0002340641335725989,0.997463369194835,10.107092101058246,38451,0.8921744558008595
1357312195,0.9977436679696187,9.533797311469158e-05,0.9978521958139207,10.59826365637545,94401,0.9024692535036708
1357916995,0.9977445063630138,0.0003538954451296909,0.9975389773905676,10.631961991551249,211927,0.8953554761780944
1358521795,0.9971443220685052,0.00025960708467734085,0.9976774224389131,10.575577969148386,154079,0.9059119023357727
1359126595,0.9967604778294872,0.00014462152546785065,0.9975149522522488,10.715540528069894,69146,0.8895814653052693
1359731395,0.9976803993747019,0.00035298270384751147,0.9981202824915033,10.706682876507761,59493,0.8975509723832946
1360336195,0.9963376439684309,0.00012628813901798344,0.9980711525047937,10.721612488521624,79184,0.8904576682157572
1360940995,0.9973901270199165,0.0002805836139169473,0.9982563470800664,11.641816647494304,224532,0.9188578910802639
1361545795,0.9977205019409515,6.77078631398393e-05,0.9974712469442474,10.497169376741706,177232,0.8874921007492945
1362150595,0.9975217968158041,0.00018953752843062926,0.9974944359516666,10.652832273200948,211040,0.897573919636113
1362755395,0.9973839984724155,1.9094901661256445e-05,0.9980414657073085,10.8204719923754,209480,0.8987588313920213
1363360195,0.9975031210986651,0.00045397798206786973,0.9972028546477536,10.222392397089134,105732,0.9027352173419959
1363964995,0.9965247983525309,0.0001930667581946113,0.9979972243178732,10.762869296175515,186464,0.8991333447743589
1364569795,0.9946710088076166,0.00037006883280290133,0.9978044970380057,10.647185783070519,162132,0.8819727135913739
1365174595,0.9977178468762765,2.1943780035548923e-05,0.9983428793672037,10.79843773513227,182284,0.8962936955519755
1365779395,0.9976489172162256,5.510350274599122e-05,0.9980876791054831,10.792466308670255,217772,0.8969748176992952
1366384195,0.9965536005804935,0.00030836205332849625,0.9974750588898325,10.6473441003942,220520,0.8971340467985224
1366988995,0.9969269390581231,0.0002596952908587258,0.9978421036849318,10.6387566122716,184832,0.8928756925207302
1367593795,0.9972456507336197,0.00023821399060543574,0.997461517820905,10.531178847290905,134333,0.8921635041277961
1368198595,0.9968514031995432,0.00013197711139810897,0.9977100614314721,10.584408647339625,212158,0.885693681124483
1368803395,0.9974747474747471,0.0001473063973063973,0.9981903111747424,10.692185635248839,95040,0.9064604377104379
